Item,Trait,Wasserstein_Distance,JS_Divergence,Chi_Square
1,Extraversion,1.4229338651692742,0.3201546677876169,155.69796681681822
2,Agreeableness,1.1028353318859871,0.3226703759772659,133.35523172534346
3,Conscientiousness,1.0094762274186533,0.26686938173708274,105.36869329567564
4,Neuroticism,1.2645465577155652,0.3296036209995278,161.96828061069886
5,Openness,0.9803375637479892,0.27701021656689484,95.95003711943096
6,Extraversion,0.7902514166838558,0.23985510834876225,74.00347885560424
7,Agreeableness,1.4163271541969125,0.33702439387825905,173.61542378221654
8,Conscientiousness,1.4483844490086222,0.3738479719114882,200.4034020013028
9,Neuroticism,1.792908558294668,0.3553074610121545,244.52935988458162
10,Openness,1.5897616726322075,0.38433547179019256,228.6870880596723
11,Extraversion,1.057265036353291,0.3154689456209676,159.89613824229838
12,Agreeableness,0.5916776929767689,0.1269049181079539,31.300349360028868
13,Conscientiousness,1.1737752230308223,0.3710379813030406,252.36807956276675
14,Neuroticism,1.4035730864162117,0.3557078637356724,202.9540489259493
15,Openness,0.8017328860183297,0.16246103612777874,50.94300135898482
16,Extraversion,0.806358749410632,0.16982105190975189,50.117292126340686
17,Agreeableness,1.0066931812003266,0.35838522296742403,153.94095280766584
18,Conscientiousness,1.103971000399627,0.3580938658667481,182.97019172843645
19,Neuroticism,0.9797206352429199,0.19016688437247703,66.87704716069736
20,Openness,0.6991668692931063,0.13606520537849123,52.823816246245826
21,Extraversion,0.8504665908981148,0.12796188192774074,25.53392952281854
22,Agreeableness,0.9541998643477498,0.27545611266362374,86.8589560801447
23,Conscientiousness,1.2534616329440806,0.292072398928759,84.29167134295997
24,Neuroticism,0.9018930404179185,0.22695504772124042,72.9549293943639
25,Openness,1.223546061489923,0.3435375561254699,124.68660676019763
26,Extraversion,1.1080571736465992,0.2580526736873659,94.38512496939013
27,Agreeableness,1.1367732477720869,0.2978481349147291,109.29396450917335
28,Conscientiousness,1.170874851990847,0.328713893606395,153.01597267271407
29,Neuroticism,1.068688525965239,0.2616305982811791,96.93748038666043
30,Openness,1.2608734975573188,0.3502927023377006,175.5299678511042
31,Extraversion,0.5334570410376821,0.15090492233301947,29.84384751120616
32,Agreeableness,1.3612720514955972,0.411272768386169,184.59392631304863
33,Conscientiousness,0.5069165202846232,0.1888260867248444,42.74350558680224
34,Neuroticism,0.9642863562345708,0.2869962003364577,101.86761318790263
35,Openness,1.1356027914448752,0.2180523694960953,82.86480803098753
36,Extraversion,0.9732747389717961,0.20244357496341375,73.55129214536161
37,Agreeableness,0.46355440576428025,0.11122611917144182,24.59588211177641
38,Conscientiousness,1.3750266309275236,0.35925957369385064,158.103013843607
39,Neuroticism,1.0080799864599603,0.15841218224776177,48.40650185489816
40,Openness,0.5778978658287646,0.1502022272647256,33.3063094105882
41,Extraversion,0.7168376772202323,0.22688741423153136,73.22005461703549
42,Agreeableness,0.7435281911763004,0.19107062354911025,53.37071905022822
43,Conscientiousness,0.71682510308637,0.2637186783879202,84.47929892569687
44,Neuroticism,0.7024875338506282,0.31733495551289037,99.91112191736049
45,Openness,0.5042558937573054,0.10764122772228418,37.109158982412325
46,Extraversion,0.6688447063317052,0.19249699774414775,69.82568208788801
47,Agreeableness,0.5771800358639791,0.19924929453938411,55.09371804312569
48,Conscientiousness,0.947060575638151,0.2561211991387398,90.03118404896952
49,Neuroticism,0.6761610930223816,0.2629078872980888,78.59427873227793
50,Openness,0.3220892008737323,0.06261872504529528,15.078615587630825
